Date,Open,High,Low,Close,Prev Close,Decision,EntryPrice,ExitPrice,P/L,Cum. P/L
2024-08-06,5449.5,5449.5,5449.5,5449.5,5394.5,SHORT,5704.596762264564,,0.0,0.0
2024-08-07,5410.25,5410.25,5410.25,5410.25,5449.5,SHORT_TP1,,5410.25,588.6935245291279,588.6935245291279
2024-08-08,5533.75,5533.75,5533.75,5533.75,5410.25,SHORT_TP2,5623.847565370871,5533.75,1708.4676226456395,2297.1611471747674
2024-08-09,5556.75,5556.75,5556.75,5556.75,5533.75,SHORT_TP1,,5556.75,134.1951307417421,2431.3562779165095
2024-08-12,5557.0,5557.0,5557.0,5557.0,5556.75,SHORT_TP2,5564.125459348296,5557.0,668.4756537087105,3099.83193162522
2024-08-13,5646.0,5646.0,5646.0,5646.0,5557.0,LONG_SL,5394.5,5646.0,-982.4944878204442,2117.337443804776
2024-08-14,5665.25,5665.25,5665.25,5665.25,5646.0,LONG_TP1,,5665.25,1624.5,3741.837443804776
2024-08-15,5730.0,5730.0,5730.0,5730.0,5665.25,LONG_TP2,5410.1588,5730.0,2013.0,5754.837443804776
2024-08-16,5781.25,5781.25,5781.25,5781.25,5730.0,LONG_TP1,,5781.25,2226.547199999999,7981.384643804775
2024-08-19,5837.25,5837.25,5837.25,5837.25,5781.25,LONG_TP2,5457.50133024,5837.25,2562.547199999999,10543.931843804774
2024-08-20,5825.0,5825.0,5825.0,5825.0,5837.25,LONG_TP1,,5825.0,2204.9920185599985,12748.923862364773
2024-08-21,5839.25,5839.25,5839.25,5839.25,5825.0,LONG_TP2,5529.6535774944,5839.25,2290.4920185599985,15039.415880924771
2024-08-22,5790.75,5790.75,5790.75,5790.75,5839.25,LONG_TP1,,5790.75,1566.5785350335973,16605.99441595837
2024-08-23,5849.25,5849.25,5849.25,5849.25,5790.75,LONG_TP2,5599.4985304116635,5849.25,1917.5785350335973,18523.572950991966
2024-08-26,5836.75,5836.75,5836.75,5836.75,5849.25,LONG_TP1,,5836.75,1423.5088175300189,19947.081768521984
2024-08-27,5844.75,5844.75,5844.75,5844.75,5836.75,LONG_TP2,5664.5338130924665,5844.75,1471.5088175300189,21418.590586052003
2024-08-28,5809.75,5809.75,5809.75,5809.75,5844.75,LONG_TP1,,5809.75,871.2971214452009,22289.887707497204
2024-08-29,5809.75,5809.75,5809.75,5809.75,5809.75,LONG_TP2,5712.633908163189,5809.75,871.2971214452009,23161.184828942405
